flight_date,destination,flights
2025-08-14,ATL,61
2025-08-14,ORD,27
2025-08-14,LAX,26
2025-08-14,EWR,22
2025-08-14,DFW,21
2025-08-14,PHL,21
2025-08-14,BOS,19
2025-08-14,MIA,19
2025-08-14,IAH,16
2025-08-14,IAD,15
2025-08-14,JFK,15
2025-08-14,SFO,12
2025-08-14,DCA,10
2025-08-14,SEA,10
2025-08-14,DTW,7
2025-08-15,ATL,51
2025-08-15,JFK,37
2025-08-15,ORD,26
2025-08-15,BOS,24
2025-08-15,DFW,19
2025-08-15,MIA,18
2025-08-15,EWR,13
2025-08-15,SJU,13
2025-08-15,PHL,12
2025-08-15,DEN,11
2025-08-15,IAD,10
2025-08-15,DTW,8
2025-08-15,LHR,8
2025-08-15,CVG,7
2025-08-15,IAH,7
2025-08-16,JFK,33
2025-08-16,ATL,32
2025-08-16,ORD,24
2025-08-16,LAX,23
2025-08-16,MIA,18
2025-08-16,LGW,13
2025-08-16,SFO,13
2025-08-16,BOS,12
2025-08-16,DTW,12
2025-08-16,DEN,11
2025-08-16,DFW,11
2025-08-16,PTY,10
2025-08-16,EWR,9
2025-08-16,IAH,9
2025-08-16,CLT,8
2025-08-17,ORD,37
2025-08-17,JFK,23
2025-08-17,ATL,22
2025-08-17,LAX,21
2025-08-17,DEN,15
2025-08-17,EWR,14
2025-08-17,IAH,14
2025-08-17,MIA,14
2025-08-17,IAD,12
2025-08-17,DCA,11
2025-08-17,BOS,7
2025-08-17,DFW,7
2025-08-17,BDL,6
2025-08-17,BOG,6
2025-08-17,LGA,6
2025-08-18,ORD,41
2025-08-18,ATL,26
2025-08-18,LAX,25
2025-08-18,JFK,23
2025-08-18,BOS,22
2025-08-18,EWR,19
2025-08-18,DFW,15
2025-08-18,IAD,14
2025-08-18,SFO,12
2025-08-18,SEA,10
2025-08-18,SJU,10
2025-08-18,DTW,9
2025-08-18,MIA,8
2025-08-18,PHL,8
2025-08-18,DEN,7
2025-08-19,JFK,46
2025-08-19,ATL,22
2025-08-19,EWR,21
2025-08-19,ORD,21
2025-08-19,DFW,15
2025-08-19,MIA,15
2025-08-19,IAD,14
2025-08-19,SJU,14
2025-08-19,BOS,11
2025-08-19,IAH,11
2025-08-19,SFO,11
2025-08-19,LAX,10
2025-08-19,LGA,9
2025-08-19,MAN,8
2025-08-19,PTY,8
2025-08-20,JFK,48
2025-08-20,ATL,39
2025-08-20,PHL,30
2025-08-20,ORD,29
2025-08-20,EWR,25
2025-08-20,BOS,19
2025-08-20,DFW,16
2025-08-20,IAH,13
2025-08-20,LAX,12
2025-08-20,SEA,11
2025-08-20,SJU,9
2025-08-20,LGA,8
2025-08-20,LHR,8
2025-08-20,IAD,7
2025-08-20,MAN,6
