flight_date,origin,flights
2025-09-25,ORD,25
2025-09-25,ATL,23
2025-09-25,JFK,18
2025-09-25,PHL,17
2025-09-25,MIA,16
2025-09-25,SEA,16
2025-09-25,CLT,11
2025-09-25,LAX,11
2025-09-25,DFW,9
2025-09-25,BOS,8
2025-09-25,DTW,8
2025-09-25,SLC,8
2025-09-25,BWI,7
2025-09-25,DEN,7
2025-09-25,IAD,7
2025-09-26,ATL,34
2025-09-26,LAX,30
2025-09-26,BOS,23
2025-09-26,ORD,22
2025-09-26,DFW,17
2025-09-26,MIA,17
2025-09-26,JFK,14
2025-09-26,EWR,13
2025-09-26,PHL,13
2025-09-26,DCA,11
2025-09-26,IAD,11
2025-09-26,LGA,11
2025-09-26,SEA,9
2025-09-26,MEX,8
2025-09-26,PTY,8
2025-09-27,ORD,25
2025-09-27,ATL,18
2025-09-27,EWR,14
2025-09-27,MIA,14
2025-09-27,IAH,11
2025-09-27,JFK,10
2025-09-27,SFO,10
2025-09-27,DEN,9
2025-09-27,DFW,9
2025-09-27,SJU,8
2025-09-27,CLT,7
2025-09-27,SLC,7
2025-09-27,CVG,6
2025-09-27,DTW,6
2025-09-27,FRA,6
2025-09-28,LAX,37
2025-09-28,ORD,36
2025-09-28,JFK,32
2025-09-28,MIA,30
2025-09-28,ATL,27
2025-09-28,BOS,21
2025-09-28,PHL,21
2025-09-28,IAD,19
2025-09-28,EWR,17
2025-09-28,IAH,15
2025-09-28,DEN,13
2025-09-28,DFW,13
2025-09-28,LGW,13
2025-09-28,SJU,10
2025-09-28,CLT,8
2025-09-29,JFK,26
2025-09-29,ORD,21
2025-09-29,BOS,12
2025-09-29,MIA,10
2025-09-29,EWR,8
2025-09-29,DEN,7
2025-09-29,LAX,7
2025-09-29,SEA,7
2025-09-29,IAD,6
2025-09-29,ATL,5
2025-09-29,PHL,5
2025-09-29,SFO,5
2025-09-29,SJU,5
2025-09-29,CLT,4
2025-09-29,MSP,4
2025-09-30,ORD,36
2025-09-30,JFK,35
2025-09-30,EWR,33
2025-09-30,ATL,27
2025-09-30,MIA,25
2025-09-30,LGA,16
2025-09-30,PHL,16
2025-09-30,BOS,15
2025-09-30,DEN,13
2025-09-30,DFW,13
2025-09-30,IAH,13
2025-09-30,LAX,12
2025-09-30,MSP,11
2025-09-30,SEA,10
2025-09-30,SFO,10
2025-10-01,ORD,31
2025-10-01,JFK,29
2025-10-01,EWR,27
2025-10-01,ATL,26
2025-10-01,MIA,26
2025-10-01,LAX,22
2025-10-01,BOS,20
2025-10-01,LGA,17
2025-10-01,IAH,14
2025-10-01,PHL,14
2025-10-01,DFW,12
2025-10-01,IAD,10
2025-10-01,DCA,9
2025-10-01,LGW,9
2025-10-01,SJU,9
